id,name,chef,street,zip,city,metro_station,metro_line,latitude,longitude,type,cuisine,budget,website,description_short,description_long,image_url,extracted_at
1,L'Assiette,,"181, Rue du Château",75014,Paris,Alesia,4,48.8334157,2.3240673,La Table,Français,3,https://restaurant-lassiette.paris/,David Rathgeber nous sert une cuisine familiale dans une ambiance de bistrot décontracté.,"Joue de bœuf braisée, cassoulet gargantuesque, David Rathgeber sert une cuisine qui rassasie le corps et l'esprit ! On s'installe sur un coin de table, dans la salle à la déco joyeusement chargée avec vue sur la cuisine semi-ouverte, pour s'envoyer des recettes franches du collier.",http://trestresbon.fr/wp-content/uploads/2020/11/5fa2e02fc8ce1.png,2026-02-06T16:55:40.905273
2,Aux Lyonnais,,"32, Rue Saint-Marc",75002,Paris,Richelieu - Drouot,8,48.870741,2.338718,La Table,Français,4,https://www.auxlyonnais.com/,FeGH nous montre comment cuire une poularde en vessie !,"Cuire une poularde dans une vessie, un défi pour notre Fegh ! Charlotte Bringant, la cheffe du bistrot Aux Lyonnais, nous guide pour réaliser pour ce geste de cuisine hautement traditionnelle.",http://trestresbon.fr/wp-content/uploads/2020/11/5fa2e3feb5878.jpg,2026-02-06T16:55:40.905289
3,Pottoka,,"4, Rue de l’exposition",75007,Paris,École Militaire,8,48.8581265,2.3025678,La Table,Français,2,https://pottoka.fr/,On part en cuisine avec le txangurro : l'araignée de mer à la mode basque !,"On retrouve Louise Jacob dans les cuisines de Pottoka pour préparer une spécialité basque : le txangurro ! De l'araignée de mer, un peu de tomate, et de la chapelure pour faire gratiner, régalade assurée !",http://trestresbon.fr/wp-content/uploads/2020/11/5fa2e6363763e.jpg,2026-02-06T16:55:40.905294
4,Aglio e olio,,"5, Rue Guillaume Bertrand",75011,Paris,Rue Saint-Maur,3,48.8634143,2.3798308,La Table,Français,2,https://www.aglioeolio.fr,"Crème pâtissière et pignons emprisonnés dans une pâte brisée, on va encore se régaler.","Parce qu'il n'y a pas que le tiramisù en Italie, le chef Andrea Maggi nous livre une recette sucrée de son enfance !",http://trestresbon.fr/wp-content/uploads/2020/11/5fa2e7ca4e19c.jpg,2026-02-06T16:55:40.905297
5,Benoît Castel,,"150, Rue de Ménilmontant",75020,Paris,Pelleport,31,48.86810241461343,2.401435375213623,Bec sucré,Boulangerie,1,http://benoitcastel.com/,Benoît Castel nous met la main à la pâte feuilletée : suivez le chef !,"Pâte feuilletée simple ou inversée ? Benoît Castel nous apprend à les différencier et à les confectionner. Farine, beurre et huile de coude : à vos rouleaux !",http://trestresbon.fr/wp-content/uploads/2020/11/5fa2ea6c5f6ff.png,2026-02-06T16:55:40.905300
6,Fulgurances,,10 rue Alexandre Dumas,75011,Paris,,0,48.8529311,2.389864,La Table,Français,3,https://fulgurances.com/les-restaurants/ladresse-paris/,Une maison qui change de chefs tous les 6 mois pour laisser s'exprimer le meilleur de la planète culinaire !,Les chefs suivent et ne se ressemblent pas dans cette adresse au service impeccable et à la carte des vins très bien pensée !,http://trestresbon.fr/wp-content/uploads/2020/11/5fa2ed0ae989f.jpg,2026-02-06T16:55:40.905303
7,Mulino Mulè,,"25, Rue Sainte-Marthe",75010,Paris,Belleville,2,48.874196,2.3723359,La Table,Français,1,https://www.mulinomule.com/,A tavola à la cantine à pasta Mulino Mulè !,Rendez-vous dans le moulin italo-parigo Mulino Mulè pour distinguer ces deux pains italiens !,http://trestresbon.fr/wp-content/uploads/2020/11/5fa2f11ed95b2.jpg,2026-02-06T16:55:40.905306
8,La Bonne Franquette,,"18, Rue Saint-Rustique",75018,Paris,Abbesses,12,48.8871194,2.3399758,La Table,Français,2,https://www.labonnefranquette.com/,FeGH découpe la tête de veau.,Le chef parigot de La Bonne Franquette découpe la tête de veau sur guéridon !,http://trestresbon.fr/wp-content/uploads/2020/11/5fa2f2cc0a221.jpg,2026-02-06T16:55:40.905309
9,La Cuillère,,"37, Rue de Montreuil",75011,Paris,Faidherbe-Chaligny,8,48.850517,2.38697,Boui-boui,Sur le pouce,1,https://lacuilleresoupesandco.metro.rest/?lang=fr,"Soupe, quiche ou tarte : bonne popote ménagère à La Cuillère !","Aux manettes, Valentina Damjanovic nous prépare une cuisine roborative et légumière ! L'autre midi, montagne de lasagne saumon-épinard et mozza filante, le tout pour 11 €.",http://trestresbon.fr/wp-content/uploads/2020/11/5fa307ff3b473.jpg,2026-02-06T16:55:40.905312
10,Koikonboi ?,,"58, Rue Custine",75018,Paris,Lamarck-Caulaincourt,12,48.8897837,2.3437,Cave,Vins,2,https://www.instagram.com/koikonboi/?hl=fr,Koikonboi à l'apéro ? Gwilherm trouve la réponse dans cette cave du 18e.,"Notre chroniqueur vin se fait conseiller deux cuvées natures : un orange et un rouge. Et c'est Etienne Piketty, producteur du Rosé Posey, qui se charge de déguster !",http://trestresbon.fr/wp-content/uploads/2020/11/5fa308c1efb42.jpg,2026-02-06T16:55:40.905318
11,Le Mezze du Chef,,"80, Rue de Ménilmontant",75020,Paris,Ménilmontant,2,48.8687917,2.3906549,Boui-boui,Turque,1,https://www.facebook.com/pages/Le%20Mezze%20du%20Chef%20Cig%20Kofte/213763119227819/,Le mezze du chef nous régale avec sa spécialité : les cig köfte.,"Florilège de mezze et cig köfte, le tout en version végé !",http://trestresbon.fr/wp-content/uploads/2020/11/5fa309600c093.jpg,2026-02-06T16:55:40.905321
12,La Cantine Chinoise,,"16, Rue de Belleville",75020,Paris,Belleville,2,48.8724576,2.378872,Boui-boui,Chinois,1,http://www.lacantinechinoise.fr/?lang=fr,Les saveurs de la Chine au prix de la cantine !,Douceur des raviolis ou ardeur du poulet à la sichuanaise : toutes les saveurs sont dans ce boui-boui bellevillois !,http://trestresbon.fr/wp-content/uploads/2020/11/5fa309f604bcb.jpg,2026-02-06T16:55:40.905324
13,Colombia Pan,,"83, Rue Sedaine",75011,Paris,Voltaire,9,48.8585416,2.3779261,Boui-boui,Colombien,1,https://www.facebook.com/pages/category/Colombian-Restaurant/Colombia-PAN-1982790392032791/,"Ce midi, on part en Colombie pour le boui-boui !","Soupe de porc, banane plantain, haricots blancs : on mange toute la Colombie à petit-prix !",http://trestresbon.fr/wp-content/uploads/2020/11/5fa30a67dcc3d.jpg,2026-02-06T16:55:40.905327
14,Lolo Cave,,"12, Rue de Châteaudun",75009,Paris,Notre-Dame-de-Lorette,12,48.8760122,2.3404517,Cave,Vins,2,https://www.lolocaveamanger.fr/,Bien beaux goulots et tapas qui tabassent chez Lolo !,Une cave de marteau et des tapassiettes envoyées par Antonin Girard : on met le turbo pour s'installer chez Lolo !,http://trestresbon.fr/wp-content/uploads/2020/11/5fa440d6d9417.jpg,2026-02-06T16:55:40.905330
15,Il Marchese,,"209, Rue du Faubourg Saint-Martin",75010,Paris,Louis Blanc,7,48.8804402,2.3641369,Boui-boui,Italien,1,https://www.ilmarchesetraiteur.com/,"Des arancini aux raviolis, toute l'Italie dans un boui-boui !",Les deux tenanciers nous régalent d'humour et de spécialités romaines et bolognaises ! Pour le déjeuner: tortellinis arrosés d'un verre de lambrusco ou formule entrée/plat à 10 € !,http://trestresbon.fr/wp-content/uploads/2020/11/5fa442a49a0c1.jpg,2026-02-06T16:55:40.905332
16,Chez Nouilles,,"1, Rue Faidherbe",75011,Paris,Faidherbe-Chaligny,8,48.8506604,2.3841726,Boui-boui,Nouilles,1,https://www.facebook.com/Chez-nouille-609322209157274/,"Chez M. Wang, c'est nouilles maison !","Légumes frais, bouillon de bœuf et nouilles façonnées à la main, un déjeuner à se slurper les babines !",http://trestresbon.fr/wp-content/uploads/2020/11/5fa443a0394f9.jpg,2026-02-06T16:55:40.905335
17,Barricou,,"1, Boulevard du Temple",75003,Paris,Filles du Calvaire,8,48.863148,2.366444,Boui-boui,Bistrot,1,https://www.lebarricou.fr/,Plat du jour ou sandwich : le barricou casse la baraque à tous les coups !,"Saucisse/lentilles du Puy, un verre de rouge et un café bio : c'est l'équation réussie de ce midi boui-boui !",http://trestresbon.fr/wp-content/uploads/2020/11/5fa44465b4386.jpg,2026-02-06T16:55:40.905338
18,Substrats,,"125, Rue de Meaux",75019,Paris,Laumière,5,48.8848547,2.3792781,Cave,Vins,2,https://www.instagram.com/substratscaviste/,On récolte du bon jaja chez Substrats !,"Le fondateur des lieux, David Mayeux, saura vous guider parmi une sélection à 95% nature. Avec une fourchette des prix qui s'étend de 7 à 250 €, Substrats ravie tous les budgets.",http://trestresbon.fr/wp-content/uploads/2020/11/5fa445b068259.jpg,2026-02-06T16:55:40.905341
